Date,Prompt Tokens,Candidates Tokens,Total Tokens,Estimated Cost (JPY)
2026-05-24 07:44:15,4914,7943,12857,0.41
2026-05-25 07:49:32,4777,7528,12305,0.39
2026-05-26 07:52:56,6239,9962,16201,0.52
2026-05-27 08:02:24,6007,9644,15651,0.50
2026-05-28 08:11:47,6228,9735,15963,0.51
2026-05-29 08:08:48,6514,10665,17179,0.55
2026-05-30 08:05:33,6471,9350,15821,0.49
2026-05-31 07:50:33,5934,9338,15272,0.49
2026-06-01 07:52:10,5128,8312,13440,0.43
2026-06-02 08:22:39,6300,9702,16002,0.51
2026-06-03 08:28:52,6072,9982,16054,0.52
2026-06-04 08:27:58,6340,10597,16937,0.55
2026-06-05 08:02:49,6555,10418,16973,0.54
2026-06-06 08:00:01,6239,10244,16483,0.53
2026-06-07 07:56:12,4871,7657,12528,0.40
2026-06-08 07:55:47,5666,8979,14645,0.47
2026-06-09 08:09:06,5843,9281,15124,0.48
2026-06-10 08:13:33,6075,9479,15554,0.49
